Total Brain,Medial and inferior temporal gyri | Superior temporal gyrus left,Amygdala | Insula right,Medial and inferior temporal gyri left,Hippocampus | Amygdala right,Amygdala | Insula left,Hippocampus | Lateral occipitotemporal gyrus right,Medial and inferior temporal gyri left | Posterior temporal lobe left,Insula left ,Hippocampus | Gyri parahippocampalis et ambiens right,Superior temporal gyrus left
1.16E-05,7.20E-11,4.56E-05,5.72E-12,3.41E-05,4.91E-05,1.02E-05,7.99E-05,8.21E-06,3.11E-07,2.67E-07
6.75E-06,1.50E-08,8.81E-05,9.09E-07,2.57E-06,0.040084396,0.000749246,1.54E-05,2.80E-06,3.73E-07,9.02E-06
1,0.9999933,0.99999475,1,0.9999993,0.9997776,0.9944254,0.9124669,0.99212307,0.9999945,0.9948138
8.63E-07,4.51E-05,1.62E-05,2.98E-05,3.99E-08,0.000210196,2.73E-05,0.24427441,2.62E-07,2.95E-05,0.000594237
1.04E-06,1.95E-06,0.006112292,5.44E-06,3.03E-06,0.18700074,0.035512038,0.000440168,0.005953561,4.41E-05,0.6369572
0.9999893,0.9819733,0.9999931,0.999171,0.99982697,1,0.9999963,0.55447954,1,0.9999989,0.99999785
1.32E-07,6.63E-12,7.63E-07,2.24E-07,0.00057576,8.50E-07,4.57E-05,0.001205794,6.42E-10,6.88E-06,5.81E-08
0.69071466,0.9999572,0.005969359,0.9984072,0.99858874,0.004719897,0.9991398,0.9972314,0.56373554,0.3906908,0.02432018
1,0.9999999,0.9982486,0.9999999,0.99999774,1,0.9996679,0.998575,1,0.99969876,0.000334775
5.61E-08,4.08E-08,1.71E-05,3.45E-07,5.77E-08,7.89E-05,0.000294832,0.000116423,7.20E-09,1.21E-07,2.55E-07
0.9853698,2.05E-06,0.99991155,0.011802715,9.68E-05,0.7465934,0.017604414,0.005950908,0.003918477,0.018859966,0.000159268
4.45E-08,1.20E-09,0.020062104,8.34E-08,0.000383736,4.67E-06,4.61E-06,7.20E-06,6.30E-13,3.07E-06,9.36E-07
1.01E-08,6.40E-08,2.74E-07,1.78E-07,7.78E-05,3.02E-06,2.68E-05,0.000371099,3.20E-12,1.32E-06,2.45E-07
0.000125603,4.96E-05,0.99774903,0.19826742,0.031041205,7.04E-05,0.17957321,0.5907377,3.48E-08,0.44904694,0.000432047
5.87E-06,5.33E-08,1.96E-07,6.61E-05,1.48E-05,0.01988649,0.000207806,1.05E-05,1.93E-06,0.000216271,2.21E-05
1.43E-07,2.00E-07,1.63E-05,0.00076417,2.06E-05,2.36E-05,1.03E-05,0.000648774,4.56E-12,1.30E-06,3.81E-07
0.99999547,0.7844339,0.9997913,0.9999987,0.9999999,0.9999441,0.99996924,0.9971294,1,0.999908,0.9997714
0.9999838,0.99945265,0.9999994,2.19E-05,0.9999999,0.13646486,0.99931026,0.91666645,0.001037319,0.4592334,0.9999999
6.27E-07,0.9426057,0.005107009,0.000168038,2.71E-05,0.001083394,3.41E-05,0.008734606,6.01E-07,2.84E-05,8.29E-07
0.36338824,2.53E-11,0.00059111,3.93E-08,5.70E-05,5.59E-06,0.051967327,0.000101166,2.22E-06,0.004554726,6.71E-08
1.02E-05,9.56E-07,3.06E-07,0.000153335,8.40E-06,8.62E-08,0.000106934,0.000275154,1.23E-09,4.22E-06,1.29E-09
2.85E-09,3.98E-05,3.29E-07,2.33E-09,1.51E-06,8.32E-08,1.63E-06,0.000729518,1.03E-09,0.000308874,4.62E-07
5.38E-11,9.32E-08,4.82E-06,1.28E-07,0.02447596,0.000102584,2.89E-07,1.07E-05,1.14E-08,1.78E-06,1.34E-10
1.16E-05,0.004435803,6.91E-06,0.18649638,2.11E-10,0.001017876,3.75E-05,0.4228657,4.21E-06,3.21E-08,4.14E-06
2.03E-05,3.16E-05,0.9999471,0.9538183,0.9017782,0.99999726,0.99964464,0.9939634,0.99300134,0.01203798,0.010988455
0.9984137,2.03E-10,0.002646477,0.002863193,0.73578525,0.5974465,0.00324474,6.31E-06,0.001474906,8.64E-05,3.16E-06
3.51E-08,2.50E-07,1.03E-05,5.05E-11,3.95E-06,4.82E-08,3.84E-06,4.63E-06,9.49E-12,3.54E-08,1.31E-11
0.9392172,0.9995983,0.022662792,0.000331528,0.994177,0.99760807,0.15340044,0.77805626,4.01E-06,0.00053368,0.9902846
1.11E-06,2.94E-07,1.02E-06,6.57E-06,6.21E-05,2.89E-06,2.58E-05,0.19553918,1.69E-09,0.00019181,1.59E-05
0.24613455,0.001348631,9.11E-06,0.9888283,0.9921895,0.38401794,0.000150931,0.000840333,8.60E-07,0.12657434,1.12E-05
0.9999999,2.36E-05,0.98723197,0.10903868,0.9999912,0.99984145,0.9999826,0.006291866,0.99793965,0.99999523,0.9993513
0.9999999,0.21097687,0.9999963,0.99992394,0.9999534,0.9999993,0.99981314,0.9980217,0.9999639,0.9996171,0.8824725
4.93E-06,4.79E-05,0.9753587,0.9999944,0.9999933,0.3002901,0.063027486,0.060651183,0.002326632,0.016796667,3.09E-05
1.45E-06,6.39E-05,0.9830707,0.9999988,2.24E-07,0.000529278,1.41E-06,0.002406514,1.90E-05,0.0009571,8.28E-08
2.07E-10,6.06E-08,0.000194727,3.47E-06,8.36E-06,3.06E-05,7.27E-06,8.67E-07,1.04E-09,3.69E-10,2.04E-11
1.63E-09,1.11E-09,2.41E-08,4.87E-06,5.64E-10,8.98E-06,4.08E-05,6.10E-05,3.43E-11,8.43E-06,3.03E-09
1.90E-07,6.71E-06,0.07634003,3.37E-09,8.09E-08,0.000165584,7.35E-06,6.25E-05,4.01E-10,7.07E-07,5.67E-09
0.40694433,0.9999995,0.001041027,0.59193593,0.042302106,0.22447038,0.9933176,0.99809533,0.99779874,0.2275436,0.9999999
4.40E-08,0.28412896,6.46E-06,0.007859012,8.45E-07,5.19E-05,6.41E-06,0.00507935,7.94E-08,2.04E-09,4.60E-05
0.9366722,0.9999999,0.4092353,0.96608067,0.99997747,0.13004076,0.9821453,0.9996561,0.99997914,0.99995327,0.9976672
1.76E-06,0.90727586,5.33E-06,4.93E-06,9.39E-05,5.71E-07,0.000515043,0.000628169,8.49E-10,1.79E-07,0.99999964
1.40E-05,0.000986298,0.002658092,0.00023194,9.81E-06,5.55E-05,0.003941745,0.004660385,1.84E-08,1.16E-06,0.005071938
0.9997495,0.9999999,0.99999964,2.24E-06,1,0.9994671,0.9976544,0.3814555,0.96680874,0.6150669,0.9986255
3.08E-06,3.02E-05,8.27E-05,1.80E-05,1.59E-09,0.07622214,0.000265358,0.00537164,7.16E-11,9.75E-08,4.58E-07
6.29E-07,3.80E-10,3.50E-05,2.64E-05,0.002042076,0.001377313,6.94E-05,0.000118045,7.45E-08,1.12E-08,3.63E-09
2.67E-07,0.033529114,1.58E-05,4.07E-06,5.47E-06,4.30E-06,1.77E-05,0.013951814,9.46E-11,1.70E-08,4.15E-05
2.21E-08,4.69E-09,8.58E-06,3.65E-07,0.000894244,3.02E-05,0.009500738,0.000940692,6.61E-08,2.92E-08,3.43E-07
7.40E-05,1.72E-06,5.16E-05,0.6749845,0.14048931,0.9999893,4.08E-05,0.000100647,1.34E-07,0.00279987,0.001227415
0.99999905,0.9998393,0.9999685,0.9997615,0.9999999,0.9999199,0.9988732,0.48421374,1,0.99990785,0.9999993
0.9999498,0.9999764,0.9999908,1,0.99694115,0.9999722,0.999602,0.9944161,0.99999034,0.9996762,0.99999714
0.99999607,0.9995441,0.99997723,0.99979967,1,0.9999969,0.9997696,0.02542321,0.99999857,0.9999969,0.9997774
0.97703344,0.69056374,0.99998975,0.99998546,0.99999976,0.99999356,0.9987204,0.89753354,0.99496484,1.51E-05,1
0.00026143,0.000238359,0.000756808,0.5656994,0.88253915,0.002015662,0.9789241,0.003973889,4.20E-08,0.010358172,2.12E-08
0.7809152,1,0.9614445,0.12509042,0.9736473,0.998686,0.99975735,0.99973065,0.99998534,0.86896044,0.9580193
0.000390243,0.98931026,0.9986022,2.21E-06,0.9992061,0.000108761,0.11897979,0.001274978,0.9996792,0.04979447,0.001503152
0.99999976,0.9999975,0.001144739,0.99942076,2.10E-05,0.9997243,0.6004313,0.9968088,0.98516536,0.96075416,1.57E-05
1.11E-07,0.012575821,0.000155569,0.63671076,4.19E-06,1.12E-05,0.000289419,0.16492848,6.59E-09,8.34E-05,2.55E-07
8.18E-09,6.53E-13,2.51E-08,1.79E-08,2.20E-10,1.91E-06,5.44E-07,9.15E-07,1.47E-09,3.04E-08,1.58E-09
6.11E-07,0.000631668,0.002809676,0.000486918,7.41E-07,3.57E-05,0.000166036,0.000592504,5.09E-05,1.18E-06,7.20E-07
0.7428575,1,0.99993134,0.01941097,0.99996936,1.73E-18,0.11375568,0.9999032,1,0.002038397,0.99385697
0.5120339,0.000261582,0.9999914,2.27E-06,0.9996245,0.99999607,0.57023764,0.002705433,0.4572139,0.9996946,3.73E-05
7.83E-08,0.1910017,0.001730737,1,1.57E-05,0.000145352,0.01632682,0.045828477,2.23E-06,1.74E-05,0.000749851
0.000710838,0.99999976,0.001051287,0.99977154,7.99E-09,0.9999026,7.18E-05,0.9852845,0.9964259,0.000486974,0.44056177
0.9972367,0.024661,0.9968215,1,0.067293696,0.99951386,0.9685145,0.94686836,0.19134302,0.9995472,0.99999976
0.9999989,0.13590287,0.9994161,0.99994516,1,0.99996436,0.99999845,0.4288083,0.9999993,0.9967675,0.9999975
0.99995136,2.18E-08,0.999998,0.99996984,0.9999999,0.99999046,0.999882,0.000741242,0.9998795,0.99998367,0.9999896
0.001095342,0.08331202,0.000195625,0.99979097,3.56E-05,0.45781115,0.06263512,0.03672796,0.98332953,2.87E-09,0.89775014
3.76E-10,2.04E-08,0.000799001,1.03E-08,0.025732381,0.9998648,0.002470344,7.32E-05,0.95670986,3.67E-06,1.74E-07
0.99857795,0.003930941,0.9631277,0.30675754,0.99999714,0.9686887,0.9997013,0.98504144,0.001344995,0.99993134,1
0.9999999,1,0.99999917,1,1,1,0.9999951,0.991168,1,0.99982774,0.99999964
0.99379575,0.99997187,0.13827625,1.11E-06,0.99999845,2.09E-05,0.013752827,0.9548539,0.006852099,0.00374161,2.96E-05
2.14E-05,0.000240904,1.30E-06,0.000211502,2.14E-09,5.83E-08,0.000673244,0.0244926,3.05E-12,6.31E-05,3.71E-07
1.82E-05,3.07E-08,0.06272058,8.78E-11,0.9999943,0.24252893,0.43609416,0.13141198,3.02E-11,1.02E-05,3.96E-07
1.04E-05,0.6736962,8.97E-06,7.64E-11,1.12E-08,7.05E-06,2.82E-05,0.13548167,6.51E-05,2.84E-05,6.78E-06
1.44E-06,4.35E-07,0.000460654,0.64949846,2.42E-07,0.001896971,6.33E-05,0.000439915,6.92E-08,4.17E-09,2.90E-08
0.9999994,7.71E-08,0.9989066,1.06E-06,0.9954485,0.9999999,0.99647826,0.79944056,1,0.9999964,0.7621533
0.99999976,0.9999063,0.98328364,0.99999976,0.99999976,0.99999833,0.9999888,0.999493,0.9999995,0.99994135,1
3.76E-06,7.60E-05,0.19064242,3.04E-05,0.36138728,0.003561052,0.19821624,0.001344286,0.9999919,0.9953615,5.02E-05
0.9315767,0.9996247,0.9978344,0.000300759,0.00021443,0.000566247,0.9979372,0.023327889,9.86E-06,0.004995895,1.43E-05
5.98E-09,1.02E-05,0.001871331,2.73E-10,0.005300866,2.40E-06,0.000224142,0.000172658,2.30E-12,4.46E-08,1.61E-05
1.72E-08,0.000188053,7.14E-07,2.97E-08,1.51E-07,4.81E-08,2.78E-05,0.001057512,2.85E-13,2.33E-07,4.60E-07
0.9988121,9.28E-07,0.6865852,0.000937818,0.000139689,0.8913917,0.92863375,5.06E-05,0.002206858,0.9998529,0.566704
2.20E-06,0.000138551,1.28E-06,0.004220978,0.09201425,0.00025888,0.015653947,0.07480746,0.21085383,3.91E-07,1.82E-07
9.38E-06,4.05E-09,7.37E-06,1.45E-06,4.12E-07,6.20E-05,4.25E-06,0.028386563,1.57E-09,3.63E-09,6.98E-09
0.99999964,0.9990834,0.9998235,0.014629322,0.9999958,1,0.99932706,0.9887523,1,0.31968582,1
0.944621,0.9984875,0.014034658,0.99999905,0.99787545,0.9803012,0.99921465,0.94707394,0.13369459,0.2441318,6.92E-08
0.003691516,1.15E-09,0.9999831,8.20E-07,0.00683346,0.000170201,0.82321995,0.010448803,6.94E-07,0.99956983,0.99998486
0.9996698,0.88572973,0.30416927,0.9998111,0.9826737,0.009107899,0.000576996,0.7079498,0.000195172,0.99959666,0.9999945
0.21944444,9.31E-07,0.9995684,1.01E-06,0.91049135,0.00469866,0.9878498,0.000160863,4.01E-05,0.9996915,3.11E-05
4.47E-05,0.009676516,0.8257014,2.06E-08,0.99999833,0.000611029,0.48793218,0.021083867,0.3226591,0.001862208,0.9998621
2.18E-06,0.99999595,0.8980724,0.24982595,0.809707,0.009943255,0.015451564,0.3939065,0.66792226,0.032842737,0.000311961
0.9999999,0.9972983,0.9999794,0.9999914,0.9999999,0.9999956,0.9999559,0.75583124,0.99440694,0.9971687,1
2.99E-05,1.17E-09,0.009860698,3.63E-08,0.000635906,5.65E-05,2.94E-05,0.000135298,2.04E-07,0.99965477,0.000125609
0.92999256,0.41713905,0.009695863,8.75E-06,0.000764733,0.000232715,0.000875015,0.532085,0.000123531,0.7524222,0.001353227
0.002030182,0.9998455,0.000576098,0.99908066,0.9991787,0.00159382,0.001145085,0.038294308,6.58E-07,0.13462009,0.00029263
6.75E-07,0.9996575,2.36E-05,0.915426,2.50E-06,4.17E-07,0.003086631,0.005934944,1.24E-08,3.44E-05,1.41E-08
1.86E-07,1.19E-08,0.211269,0.042152002,0.15002988,0.17841998,0.99937385,0.000614458,0.0895015,1.81E-07,5.13E-05
2.06E-06,7.14E-09,2.86E-06,1.07E-06,6.25E-05,1.29E-07,4.19E-05,4.60E-06,4.76E-09,5.70E-08,5.21E-08
0.9999999,0.99978656,0.9589292,1,0.022867233,0.9999895,0.17679864,0.7202463,0.9995303,0.99999833,0.9999291
3.24E-07,1.60E-13,0.000248277,1.88E-10,1.99E-06,0.027910216,1.66E-05,7.76E-07,2.02E-06,1.71E-08,1.21E-05
0.99999964,0.99994135,0.033609092,0.999998,0.7569592,0.9999999,0.94967765,0.93563294,0.9999995,0.9998752,0.99934536
0.99999976,0.9999894,0.99603736,0.9998827,0.9755182,0.9999995,0.99986637,0.568129,1,0.99999464,1
0.99998415,0.9999987,0.99999976,0.99948514,1,1,0.9999993,0.9275869,1,0.9999956,0.99996495
8.34E-08,0.000481115,1.96E-07,0.9999995,1.27E-08,0.00018228,0.21750852,0.000781159,1.28E-06,1.86E-06,5.47E-08
8.69E-06,0.07697928,0.98069394,9.15E-07,8.42E-05,0.37971702,0.9982286,0.000711107,1.10E-08,0.003895852,1.30E-05
0.99999857,0.98643935,0.8255679,0.9439193,0.6807754,0.999411,0.9987668,0.5423756,0.9999995,0.5188977,0.9999505
5.35E-08,3.56E-06,0.23585665,1.73E-07,9.23E-06,1.65E-05,0.000130541,0.00037715,8.73E-10,8.92E-06,1.23E-08
2.51E-05,4.50E-05,0.15900007,1.04E-07,3.49E-05,0.99316037,0.000359066,5.93E-05,0.9998354,2.12E-06,8.92E-05
0.9999875,0.99983406,0.99999857,0.9995105,0.9999975,1,0.924938,0.016528372,0.9999995,0.99999857,1
2.42E-08,1.35E-05,2.80E-05,1.18E-08,5.31E-06,2.32E-05,4.09E-05,0.002790161,3.67E-11,0.14941867,4.59E-07
0.9999751,0.99998987,0.53608733,0.9339558,0.9590411,0.999956,0.8462071,0.36544266,0.9085222,0.998009,0.000747281
2.07E-07,4.91E-09,1.09E-06,2.85E-14,2.55E-07,0.00047292,1.50E-05,6.98E-05,1.44E-05,2.20E-06,1.13E-05
0.999997,1,0.9999795,0.99978715,0.99999845,0.99998546,0.9996674,0.99846965,0.9998667,0.9999777,0.99999547
0.99997425,0.97277564,0.8561762,0.9999975,0.9999695,0.99999905,0.009925883,0.001291054,1,0.9999981,1
5.41E-05,0.000523024,0.001302936,0.9999232,2.39E-07,1.99E-05,0.038751937,0.000196875,2.04E-05,0.000218297,1.31E-06
0.9999989,0.99999774,0.9999865,1,0.999895,1,0.99997556,0.9982267,0.9987619,0.99998665,0.99982506
1.08E-07,2.85E-06,0.002532748,0.092236616,0.018477606,0.00281423,6.88E-06,0.017804673,0.35416985,6.73E-08,1.33E-07
9.00E-10,5.33E-09,1.07E-06,1.06E-06,6.23E-06,9.55E-05,4.49E-05,0.000207781,1.15E-09,1.47E-07,1.49E-07
0.995059,0.98930615,0.9562013,0.9999949,0.99999607,0.9999615,0.000733262,0.06443416,1,0.99955887,0.99997437
1,0.99958426,0.75391585,0.9999149,0.9999958,0.99127835,0.9958884,0.6470142,0.9987011,0.99878424,1
1.50E-10,0.12632687,3.25E-06,2.14E-05,2.61E-06,7.12E-07,0.000111666,0.015413663,3.78E-11,1.34E-12,6.82E-10
0.86438966,0.00214115,0.39292642,0.9999666,0.99999917,0.000406795,0.9998776,0.32539856,1.70E-06,1.98E-05,0.005661417
5.58E-08,0.007701796,0.001305898,0.001922116,0.14962254,1.22E-05,6.49E-05,0.00083992,2.94E-10,0.000124045,6.53E-07
3.59E-10,1.87E-05,2.15E-05,3.74E-08,0.13262545,1.58E-05,2.01E-06,0.001651259,2.19E-08,3.41E-08,0.000106647
0.47127476,0.9987269,8.85E-05,2.51E-06,4.19E-05,0.012147525,0.39421454,0.64014864,0.044374634,4.87E-05,9.72E-05
1.80E-05,0.009181028,0.05055969,0.003664055,2.48E-07,0.001550924,0.000110152,0.32945934,2.22E-09,7.09E-08,3.50E-08
0.004650698,0.9999969,0.9999981,1,0.000152366,0.999949,0.99766374,0.7528377,1,0.9998597,1.46E-05
9.11E-07,0.000469277,0.99920434,2.87E-05,0.99999976,0.17178461,0.010959101,0.002446037,0.99999213,0.029272351,1.06E-08
0.9999864,0.9887987,0.82351094,1,0.99999964,0.9999987,0.9999639,0.99833834,0.9999889,0.9999821,0.99999976
0.9998518,2.80E-07,0.99999404,0.99479735,0.9999949,0.9998715,0.71177447,9.88E-06,1.01E-05,4.74E-05,0.9999299
5.76E-07,0.005614361,3.77E-06,0.007371616,6.93E-08,4.42E-06,0.000200306,0.008229171,0.040715557,0.018945346,2.67E-06
1.31E-07,0.99534976,0.000190748,2.03E-06,1.22E-06,0.000658781,0.3889086,0.2245054,1.67E-08,3.25E-06,2.02E-09
2.43E-08,2.48E-09,3.38E-07,7.81E-11,2.67E-07,1.22E-05,1.54E-06,8.66E-06,4.34E-08,3.24E-08,1.65E-07
6.71E-08,0.000648687,6.02E-06,3.34E-08,4.25E-08,1.55E-05,4.34E-05,0.034017816,2.39E-05,1.28E-05,3.84E-05
1,0.9975479,0.99998736,1,0.9999981,1,0.9999398,0.99909496,0.9999999,0.99839264,1
0.9999846,0.9999492,0.9999087,0.93374187,0.99995184,0.004740705,0.999979,0.98126596,0.99995625,0.99999976,0.9999201
6.18E-06,3.19E-05,7.01E-06,0.006758593,7.92E-07,0.000112956,0.002764593,2.87E-10,7.95E-07,0.007379443,0.003146748
0.000149781,0.98841476,0.001403515,0.06273587,0.9998356,0.5213576,0.9994666,2.87E-09,0.0093428,0.9960763,0.9578991
6.26E-05,0.9067542,0.00398483,0.13161972,4.29E-05,7.07E-05,0.002673496,1.12E-06,0.003241947,0.11693629,4.16E-05
0.83784676,0.99417275,0.000470397,0.9758075,3.22E-08,0.694733,0.000148669,0.9999993,6.91E-05,0.35747457,0.007686909
0.9879731,0.9975204,0.9995372,0.5712354,1,0.99998343,0.901948,0.9977678,0.9044851,0.9995377,0.99994373
9.10E-06,0.99865305,2.28E-07,0.977276,9.87E-09,0.00064207,0.000805856,0.03099231,0.060253266,0.000183609,0.005049538
2.66E-05,0.39584655,2.30E-05,0.001503657,8.38E-08,0.00107411,2.92E-07,2.21E-08,0.000180088,0.000537151,4.81E-05
0.000412083,0.94937575,0.94285774,0.97203135,0.99922943,0.006678168,0.36156034,0.9999912,0.99390805,0.27984923,0.15928279
0.000406076,0.006443104,2.60E-06,0.001396432,6.69E-09,0.000142742,1.52E-07,5.73E-08,5.44E-07,0.000732074,0.005776403
5.14E-07,0.000164905,2.31E-07,0.005414403,8.41E-10,1.20E-05,5.89E-09,2.25E-09,0.00023198,2.77E-05,8.89E-08
0.98154837,0.99328244,0.11956955,0.82577395,0.11340113,0.3324213,0.10386563,0.9999999,0.7197353,0.99978083,0.99999225
0.059355304,0.99240583,9.49E-05,0.27747688,1.44E-07,0.9469476,0.969234,0.9999726,0.038878527,0.06691358,5.16E-06
1.16E-06,0.5851329,1.74E-07,0.01883021,1.09E-07,0.000174024,0.000239126,0.011960614,8.50E-07,0.000235631,2.18E-06
1.72E-06,0.000481823,2.02E-07,0.011261953,1.11E-08,4.52E-07,1.47E-07,1.66E-13,4.51E-08,0.000135479,0.000165679
7.20E-06,0.6730247,1.55E-06,0.039279215,1.43E-09,0.29426795,0.000883759,1.09E-05,9.64E-05,0.026834697,2.73E-06
4.91E-05,0.053377036,5.30E-07,0.004954468,0.033935763,0.83114463,4.79E-05,0.20070465,0.000183911,0.000610186,0.020668205
6.50E-06,0.003398819,3.30E-07,0.008361588,1.84E-12,3.01E-05,4.17E-08,0.78148335,3.17E-06,9.79E-06,2.06E-05
6.38E-06,0.000706878,4.85E-09,0.000364886,4.81E-07,3.63E-06,2.67E-07,3.62E-09,2.13E-08,0.000295944,2.48E-05
2.27E-05,0.000181707,0.000211577,0.002010241,5.10E-06,0.001310762,1.06E-06,9.12E-08,1.37E-05,0.043058082,1.92E-06
5.77E-06,0.000986184,6.26E-06,0.001262557,3.15E-05,4.69E-05,6.44E-08,5.60E-05,1.65E-06,0.000116076,6.31E-06
3.99E-06,0.000610434,2.21E-05,0.000144017,0.000419903,0.000395375,0.000213488,3.78E-05,1.45E-06,0.003540323,0.003310811
0.000101951,0.004190673,1.92E-06,0.97544724,5.86E-06,0.003094547,0.05188508,8.84E-06,1.08E-05,0.0666163,7.79E-05
1.10E-05,0.003841033,5.65E-06,0.67969435,1.18E-07,0.000383139,0.00030407,4.12E-07,0.000447135,0.00566219,1.31E-08
0.99994636,0.64030236,0.99998,0.86611277,0.99999976,0.9997681,1,0.99999166,0.9992524,0.999076,0.99862003
0.9620249,0.11203364,0.9770537,0.874492,3.02E-10,0.32857743,0.011409935,0.4170844,0.45127794,0.002188657,4.70E-05
0.97077495,0.85910696,0.95481884,0.080977246,1.61E-05,0.009821891,0.86492693,3.96E-05,0.95339936,0.9985728,0.99999726
2.84E-05,0.010691579,0.001258551,0.000270097,0.118822984,0.001581303,7.69E-10,1.99E-07,4.60E-07,0.01508823,0.00012444
0.9999651,0.9991788,0.99992096,0.842546,0.9999999,0.9998983,0.9999999,0.9999994,0.99999344,0.99991286,0.9999205
8.37E-06,0.99324423,0.000260617,0.1690462,0.018824253,0.8687678,0.024826607,0.99849355,0.8966329,0.000398287,0.028678305
0.000110963,0.035111513,0.9999993,0.074732326,0.9998977,0.9767386,0.99998105,0.9962819,0.99983144,0.9530133,0.003065972
0.53987014,0.004714953,0.99998605,0.025898427,0.99997723,0.9992643,0.8019534,0.99952507,0.908026,0.0009255,5.07E-05
8.09E-07,0.000365536,1.30E-06,0.051659465,8.50E-10,7.20E-06,1.49E-09,3.19E-08,9.04E-08,5.76E-05,0.000378244
1.19E-08,0.004439631,5.46E-07,0.000359886,8.96E-12,2.72E-05,1.39E-06,2.12E-06,7.68E-08,0.054326687,1.50E-06
0.9309756,0.99100024,0.000270786,0.6913244,6.91E-06,5.40E-05,0.002823522,0.9998234,0.000541638,0.9863375,0.9998568
0.6724227,0.9895571,0.9980585,0.47140667,0.84772855,0.9781487,0.80018866,0.9999993,0.99999356,0.99585176,0.99999845
0.9830468,0.9996823,0.000506592,0.99529266,3.44E-06,0.9300343,0.9999999,0.9999999,0.99334985,0.99980015,0.99940026
3.33E-07,0.020622656,0.000195802,0.001096414,2.79E-08,0.000255439,6.62E-07,2.07E-06,0.000364845,0.000529517,1.11E-08
0.99908984,0.14878935,0.832628,0.15698701,1,0.93308085,0.9999622,4.83E-06,0.9239998,0.9990128,0.99999785
7.54E-06,8.00E-06,2.37E-06,0.003265926,7.73E-08,3.66E-05,8.88E-07,8.02E-08,8.37E-06,0.000133833,1.10E-06
0.007312107,0.98868203,0.003279795,0.4957688,1.39E-07,0.03593292,0.000288853,2.48E-06,4.15E-05,0.59431046,0.62087154
3.76E-05,0.8859382,0.9937571,0.9595657,1.20E-05,0.05174381,0.042048324,0.79179704,0.000765804,0.022121761,7.47E-07
5.67E-06,0.000384651,7.12E-05,0.38910928,1.58E-08,2.91E-05,0.00072983,2.86E-09,0.000109753,0.3462271,5.35E-06
0.9943546,0.99869967,0.99999976,0.9910629,0.46895579,0.9985033,0.9168027,0.99999917,0.9998846,0.9999006,0.9919837
0.8623019,0.99923694,0.9998369,0.9899658,1,0.9938158,0.99998486,0.99999714,0.001882038,0.31130353,0.9999999
